,Clothing,Date,Description,Dress,Pant,Shirt,Skirt,Tags,URL,User,Img
22,:Jovani dress;,2018-03-06,"My little pink dress may be impractical for the weather in Paris, but she still wanted to have a Parisian moment. Plus, rainy days call for indoor photo shoots. See how I styled this little number for a cold day over on IG stories!",1.0,0.0,0.0,0.0,Sexy;Bridal Shower;spring;,http://images2.chictopia.com/photos/elizabethkeene/8500568777/jovani-dress_400.jpg,elizabethkeene,jovani-dress_400
23,:Guess+Jlo collection dress;,2018-02-16,https://www.instagram.com/p/BfPwfLBhKG5/?taken-by=elizabethkeene\xc2\xa0I was never a huge fan of purple but I recently started wearing it & now it\xe2\x80\x99s becoming a fave. Loving this maxi from the @guess x @jlo collection,1.0,0.0,0.0,0.0,Chic;Formal;spring;\xd1\x84\xd0\xb8\xd0\xbe\xd0\xbb\xd0\xb5\xd1\x82 \xd0\xb8 \xd0\xb1\xd0\xb5\xd0\xb6;,http://images2.chictopia.com/photos/elizabethkeene/9991783013/maxi-dress-guessjlo-collection-dress_400.jpg,elizabethkeene,maxi-dress-guessjlo-collection-dress_400
24,"s dress;""",2018-02-15,When it comes to finding the perfect dress for Valentine\xe2\x80\x99s Day at @lulus is always my first stop! I\xe2\x80\x99m sharing my three favorite dresses from their site over on www.akeensenseofstyle.com! Be sure to take a peek and let me know which one is your favorite!,1.0,0.0,0.0,0.0,Classic;Romantic Dinner;spring;,http://images0.chictopia.com/photos/elizabethkeene/11029327792/maroon-velvet-lulus-dress-mustard-vintage-bag_400.jpg,elizabethkeene,maroon-velvet-lulus-dress-mustard-vintage-bag_400
25,red:Nordstrom boots;,2018-01-29,"There are few trends sassier than over the knee boots. Sure, they can be toned down in a more subtle hue, but in a fiery shade of red, they just about scream ""not afraid to take fashion risks."" I\",1.0,0.0,1.0,0.0,Chic;Other;Summer;,http://images2.chictopia.com/photos/elizabethkeene/8139473492/red-nordstrom-boots-black-sweater-dress-free-people-dress_400.jpg,elizabethkeene,red-nordstrom-boots-black-sweater-dress-free-people-dress_400
26,nude:Jimmy Choo shoes;,2018-01-27,"s what I love about fashion, you don",1.0,0.0,0.0,0.0,Romantic;Other;Summer;,http://images0.chictopia.com/photos/elizabethkeene/2054602762/nude-jimmy-choo-shoes-light-pink-storets-dress-white-dolce-gabbana-bag_400.jpg,elizabethkeene,nude-jimmy-choo-shoes-light-pink-storets-dress-white-dolce-gabbana-bag_400
27,white:Nicholas Kirkwood shoes;,2018-01-17,More on District of Chic...,1.0,0.0,0.0,0.0,Chic;Holiday Party;winter;,http://images2.chictopia.com/photos/districtofchic/8488997440/white-kitten-heel-nicholas-kirkwood-shoes-black-eyelet-maje-dress_400.jpg,districtofchic,white-kitten-heel-nicholas-kirkwood-shoes-black-eyelet-maje-dress_400
28,:zaful dress;,2017-10-05,More to see here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/10/foolish-mind.html,1.0,0.0,0.0,0.0,Casual;Everyday;fall;,http://images2.chictopia.com/photos/RuxandraIoana/8670858749/zaful-dress-zac-zac-posen-bag-sergio-rossi-sandals_400.jpg,RuxandraIoana,zaful-dress-zac-zac-posen-bag-sergio-rossi-sandals_400
29,black:Nine West shoes;,2017-10-21,More pictures of this look you can find on my blog: http://branasdivineworld.com/ ,1.0,1.0,0.0,0.0,Elegant;Birthday;fall;,http://images2.chictopia.com/photos/braNYaudreY/11463182986/black-nine-west-shoes-black-iskon-mode-dress-black-parfois-bag_400.jpg,braNYaudreY,black-nine-west-shoes-black-iskon-mode-dress-black-parfois-bag_400
30,:zaful dress;,2017-10-02,More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/10/impossible-approach.html,1.0,0.0,0.0,0.0,Chic;Brunch;fall;,http://images0.chictopia.com/photos/RuxandraIoana/3434046598/zaful-dress_400.jpg,RuxandraIoana,zaful-dress_400
31,:Lookbook Store dress;,2017-09-30,More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/10/sunday-delight.html,1.0,0.0,0.0,0.0,Chic;Dinner Date;fall;,http://images0.chictopia.com/photos/RuxandraIoana/4331386687/lookbook-store-dress_400.jpg,RuxandraIoana,lookbook-store-dress_400
33,burnt orange:lulus dress;,2017-09-27,More images and outfit information on the blog :) www.lefashionmonster.com,1.0,0.0,0.0,0.0,Bohemian;Dinner Date;summer;,http://images0.chictopia.com/photos/LeFashionMonster/1659523521/burnt-orange-lulus-dress_400.jpg,LeFashionMonster,burnt-orange-lulus-dress_400
34,:Peserico dress;,2017-09-24,http://www.gvozdishe.com/2017/09/how-to-wear-nude-part-1.html,1.0,0.0,0.0,0.0,Bohemian;Cocktail;fall;high profile escorts c...;9167133535;escort in chennai;,http://images2.chictopia.com/photos/gvozd/7738949330/peserico-dress_400.jpg,gvozd,peserico-dress_400
35,:Dresswe dress;,2017-09-24,Check out more here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/09/majestic.html,1.0,0.0,0.0,0.0,Elegant;Wedding;Summer;indian escort in chennai;high profile escorts c...;escort in chennai;,http://images2.chictopia.com/photos/RuxandraIoana/6437251486/dresswe-dress_400.jpg,RuxandraIoana,dresswe-dress_400
36,forest green:Kimchi Blue dress;,2017-09-12,"s so soft and secure, plus the print is beautiful! It",1.0,0.0,0.0,0.0,Bohemian;Everyday;Summer;,http://images2.chictopia.com/photos/themoptop/4482540224/forest-green-kimchi-blue-dress_400.jpg,themoptop,forest-green-kimchi-blue-dress_400
37,light yellow:Chicwish dress;,2017-09-21,Check out my blog for more details:\xc2\xa0https://livinginashoe.com/sweet-like-candy/,1.0,0.0,0.0,0.0,Elegant;Everyday;fall;,http://images2.chictopia.com/photos/Laura86/11388410054/light-yellow-chicwish-dress_400.jpg,Laura86,light-yellow-chicwish-dress_400
38,white:Oviesse dress;,2017-09-12,More pictures of this look you can find on my blog: http://branasdivineworld.com/ ,1.0,0.0,0.0,0.0,Casual;Going Out With Friends;summer;stanlice accessories;,http://images2.chictopia.com/photos/braNYaudreY/9511876408/white-oviesse-dress-zara-jeans-light-brown-mmprincipessa-bag_400.jpg,braNYaudreY,white-oviesse-dress-zara-jeans-light-brown-mmprincipessa-bag_400
39,:Joseph Ribkoff dress;,2017-09-10,Double avocado + stripes + tropical vibes,1.0,0.0,0.0,0.0,Chic;Fashion Show;Summer;,http://images0.chictopia.com/photos/Jen_A/7386583044/joseph-ribkoff-dress-3d-printed-pin-pinpills-accessories_400.jpg,Jen_A,joseph-ribkoff-dress-3d-printed-pin-pinpills-accessories_400
40,:Chicwish dress;,2017-09-10,More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/09/two-steps-ahead.html,1.0,0.0,0.0,0.0,Chic;Picnic;summer;,http://images2.chictopia.com/photos/RuxandraIoana/3659560092/chicwish-dress_400.jpg,RuxandraIoana,chicwish-dress_400
41,black:Alexander Wang dress;,2017-09-09,And my current favourite cap. It\xe2\x80\x99s floral.,1.0,0.0,0.0,0.0,Outdoor;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/6828038696/black-alexander-wang-dress_400.jpg,Aphrodite,black-alexander-wang-dress_400
42,,2017-09-09,Silk.,1.0,0.0,0.0,0.0,Natural;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/8503188592/yellow-dress_400.jpg,Aphrodite,yellow-dress_400
43,:3Suisses dress;,2017-09-08,More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/09/dusk-till-dawn.html,1.0,0.0,0.0,0.0,Chic;Brunch;fall;,http://images2.chictopia.com/photos/RuxandraIoana/1601687920/3suisses-dress_400.jpg,RuxandraIoana,3suisses-dress_400
44,:River Island dress;,2017-09-04,http://www.gvozdishe.com/2017/08/dark-avenues.html,1.0,0.0,0.0,0.0,Classic;Conference;summer;,http://images0.chictopia.com/photos/gvozd/11466063225/river-island-dress_400.jpg,gvozd,river-island-dress_400
45,,2017-09-06,Animal print.,1.0,0.0,0.0,0.0,Sexy;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/7236633895/pink-dress_400.jpg,Aphrodite,pink-dress_400
47,:Raye boots;,2017-08-28,http://www.gvozdishe.com/2017/08/elven-garden.html,1.0,0.0,0.0,0.0,Bohemian;Brunch;summer;,http://images2.chictopia.com/photos/gvozd/6681842264/raye-boots-shein-dress-house-of-harlow-1960-dress_400.jpg,gvozd,raye-boots-shein-dress-house-of-harlow-1960-dress_400
48,:Mango shoes;,2017-08-27,More on beeswonderland.com,1.0,0.0,0.0,0.0,Runway;Casual Party;fall;,http://images2.chictopia.com/photos/Beeswonderland/7332085199/mango-shoes-h-m-dress_400.jpg,Beeswonderland,mango-shoes-h-m-dress_400
49,:Zara shoes;,2017-08-23,More on beeswonderland.com,1.0,0.0,0.0,0.0,Trendy;Brunch;summer;,http://images0.chictopia.com/photos/Beeswonderland/8580861670/zara-shoes-shein-dress_400.jpg,Beeswonderland,zara-shoes-shein-dress_400
50,:Rosegal dress;,2017-08-22,More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/08/sweet-mornings.html,1.0,0.0,0.0,0.0,"s Market;summer;""",http://images2.chictopia.com/photos/RuxandraIoana/8351837969/rosegal-dress_400.jpg,RuxandraIoana,rosegal-dress_400
51,silver:Zara dress;,2017-08-20,Silver dress and fur sandals by Zara.,1.0,0.0,0.0,0.0,Rocker;Work;Summer;,http://images2.chictopia.com/photos/Aphrodite/3985101653/silver-zara-dress_400.jpg,Aphrodite,silver-zara-dress_400
53,black:Valentino dress;,2017-08-18,Valentino.,1.0,0.0,0.0,0.0,Rocker;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/10416663089/black-dress_400.jpg,Aphrodite,black-dress_400
54,:Jessica Buurman dress;,2017-08-18,http://www.gvozdishe.com/2017/08/pomegranate.html,1.0,0.0,0.0,0.0,Bohemian;Dinner Date;summer;,http://images2.chictopia.com/photos/gvozd/4508759516/jessica-buurman-dress_400.jpg,gvozd,jessica-buurman-dress_400
55,bubble gum:christian dior dress;,2017-08-13,Christian Dior.,1.0,0.0,0.0,0.0,Chic;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/8328175940/bubble-gum-dress_400.jpg,Aphrodite,bubble-gum-dress_400
56,ruby red:Topshop dress;,2017-08-07,And fish.,1.0,0.0,0.0,0.0,Comfortable;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/5824897061/ruby-red-by-kate-moss-topshop-dress_400.jpg,Aphrodite,ruby-red-by-kate-moss-topshop-dress_400
57,,2017-08-07,<3,1.0,0.0,0.0,0.0,Chic;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/7004761397/white-dress_400.jpg,Aphrodite,white-dress_400
58,:Metisu dress;,2017-08-01,http://www.gvozdishe.com/2017/07/la-boule.html,1.0,0.0,0.0,0.0,Bohemian;Brunch;summer;,http://images0.chictopia.com/photos/gvozd/6264890826/metisu-dress_400.jpg,gvozd,metisu-dress_400
59,black:Zara shoes;,2017-07-28,"Confession: I\xe2\x80\x99m a full-on adopter of the shower slides trend. Call it my \xe2\x80\x9990s upbringing, but when Adidas shower slides first started making a comeback, I was positively gleeful. So when Miu Miu took it to the next level and embellished them with pearls, well, you can kind of say it made my spring. I wasn\xe2\x80\x99t quite ready to splurge on the real deal so imagine my delight when I found a similar pair on Zara for a steal. I wore this fancied-up pool outfit to the Westover Beer Garden (a family favorite) on a warm and sunny Sunday not too long ago. Here\xe2\x80\x99s hoping we\xe2\x80\x99ll get some of that beautiful weather back this weekend!",1.0,0.0,0.0,0.0,Chic;Casual Party;summer;,http://images2.chictopia.com/photos/districtofchic/7495167187/black-pearl-zara-shoes-black-printed-mango-dress-black-bucket-bag-mansur-bag_400.jpg,districtofchic,black-pearl-zara-shoes-black-printed-mango-dress-black-bucket-bag-mansur-bag_400
61,brown:Spell Design dress;,2017-07-23,Check the full editorial on the blog now :\xc2\xa0,1.0,0.0,0.0,0.0,Bohemian;Everyday;summer;,http://images2.chictopia.com/photos/dollpoupee/8618942315/brown-spell-design-dress-black-asos-hat-black-free-people-sandals_400.jpg,dollpoupee,brown-spell-design-dress-black-asos-hat-black-free-people-sandals_400
62,black:asos shoes;,2017-07-19,"Isn\xe2\x80\x99t it nice to stumble across a piece that breathes new life into your work wardrobe? I feel like it\xe2\x80\x99s always a challenge to find clothes that are fun and interesting, but still work-appropriate. Like most of the fashion world right now, I\xe2\x80\x99m pretty obsessed with Monse and the whole \xe2\x80\x9cshirting\xe2\x80\x9d trend in general. So when this lookalike dress went on sale over Memorial Day weekend, I popped it right into my my shopping cart. Paired with two-tone, spectator-style mary janes and a patent tote, I think it makes a neat little play on menswear. How do you spice up your office wardrobe while still remaining appropriate? Office dress codes vary so wildly these days, I\xe2\x80\x99m always curious what other people are able to get away with.",1.0,0.0,1.0,0.0,Business;Work;summer;,http://images2.chictopia.com/photos/districtofchic/4477848022/black-mary-janes-asos-shoes-sky-blue-shirt-dress-genuine-people-dress_400.jpg,districtofchic,black-mary-janes-asos-shoes-sky-blue-shirt-dress-genuine-people-dress_400
64,"s shoes;""",2017-07-11,"m feeling stressed, I can always count on a sunset walk to relax me and calm my mind. Taking a stroll through this lovely garden really helped me to decompress. When feeling you",1.0,0.0,0.0,0.0,Classic;Everyday;Summer;,http://images0.chictopia.com/photos/elizabethkeene/2622139223/gold-lulus-shoes-yellow-rent-the-runway-dress-salmon-bebe-purse_400.jpg,elizabethkeene,gold-lulus-shoes-yellow-rent-the-runway-dress-salmon-bebe-purse_400
65,:shein dress;,2017-07-10,More on beeswonderland.com,1.0,0.0,0.0,0.0,Chic;Cocktail;summer;,http://images2.chictopia.com/photos/Beeswonderland/3197058849/shein-dress-nike-sneakers_400.jpg,Beeswonderland,shein-dress-nike-sneakers_400
66,hot pink:Converse shoes;,2017-07-08,I have a thing for Kimonos. I mean they take my breath away.\xc2\xa0,1.0,0.0,0.0,0.0,Trendy;Work;Summer;,http://images0.chictopia.com/photos/Aphrodite/5159455203/purple-vintage-dress_400.jpg,Aphrodite,purple-vintage-dress_400
67,white:Sage Aubrey dress;,2017-07-05,"ll be at the beach.""",1.0,0.0,0.0,0.0,Classic;Beach;Summer;,http://images0.chictopia.com/photos/elizabethkeene/1899751131/white-sage-aubrey-dress_400.jpg,elizabethkeene,white-sage-aubrey-dress_400
68,:Premiata shoes;,2017-07-02,http://www.gvozdishe.com/2017/05/last-first-kiss.html,1.0,0.0,0.0,0.0,70s;Dinner Date;summer;,http://images2.chictopia.com/photos/gvozd/5774294647/premiata-shoes-copcopine-dress_400.jpg,gvozd,premiata-shoes-copcopine-dress_400
69,eggshell:Vigore Studio dress;,2017-07-05,I love the vintage feel of this dress from Vigore studio! They have some really great pieces right now not to mention how soft this one is too. Be sure to check them out!,1.0,0.0,0.0,0.0,70s;Everyday;Summer;,http://images0.chictopia.com/photos/themoptop/1726873744/eggshell-vigore-studio-dress_400.jpg,themoptop,eggshell-vigore-studio-dress_400
70,black:Dolce & Gabbana boots;,2017-07-01,<3,1.0,0.0,0.0,0.0,Sexy;Work;Summer;,http://images0.chictopia.com/photos/Aphrodite/1838924436/light-pink-dress_400.jpg,Aphrodite,light-pink-dress_400
71,:Metisu dress;,2017-06-30,http://www.gvozdishe.com/2017/06/in-garden-of-venus.html,1.0,0.0,0.0,0.0,Trendy;Everyday;summer;,http://images2.chictopia.com/photos/gvozd/10909135813/metisu-dress-jessica-buurman-coat_400.jpg,gvozd,metisu-dress-jessica-buurman-coat_400
72,blue:vintage dress;,2017-06-26,Stone studded 70s sunglasses and fur slides.,1.0,0.0,0.0,0.0,70s;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/9613006760/light-orange-bejewelled-mango-sunglasses_400.jpg,Aphrodite,light-orange-bejewelled-mango-sunglasses_400
73,purple:vintage dress;,2017-06-24,And Chanel and Converse. And Kenzo perfume.,1.0,0.0,0.0,0.0,Vintage;Work;Summer;,http://images0.chictopia.com/photos/Aphrodite/10190543699/gold-chain-chanel-belt_400.jpg,Aphrodite,gold-chain-chanel-belt_400
74,nude:Jimmy Choo shoes;,2017-06-23,"s just something about Paris that makes me feel so romantic. I guess I wanted an outfit that was as romantic as the city. Mission accomplished.""",1.0,0.0,0.0,0.0,Classic;Everyday;Summer;bobbysocks;,http://images2.chictopia.com/photos/elizabethkeene/2017067973/nude-jimmy-choo-shoes-peach-asilio-dress-peach-cmeo-collective-jacket_400.jpg,elizabethkeene,nude-jimmy-choo-shoes-peach-asilio-dress-peach-cmeo-collective-jacket_400
75,,2017-06-22,"My favourite dress, today.",1.0,0.0,0.0,0.0,Comfortable;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/3330949895/army-green-silk-dress_400.jpg,Aphrodite,army-green-silk-dress_400
76,red:Zara dress;,2017-06-18,I sang my heart out. I danced all my troubles away.,1.0,0.0,0.0,0.0,Sexy;Work;Summer;,http://images0.chictopia.com/photos/Aphrodite/8095641314/red-polka-dot-zara-dress_400.jpg,Aphrodite,red-polka-dot-zara-dress_400
77,turquoise blue:Adelyn Rae dress;,2017-06-19,t contain any sulfates or parabens so I knew right away that it was for me. I,1.0,0.0,0.0,0.0,Casual;Everyday;Summer;,http://images2.chictopia.com/photos/elizabethkeene/2676100527/turquoise-blue-adelyn-rae-dress-charlotte-russe-earrings_400.jpg,elizabethkeene,turquoise-blue-adelyn-rae-dress-charlotte-russe-earrings_400
78,light pink:Forever 21 dress;,2017-06-16,Always craving that cool ocean breeze.,1.0,0.0,0.0,0.0,Elegant;Everyday;Summer;,http://images0.chictopia.com/photos/elizabethkeene/2532220404/light-pink-forever-21-dress_400.jpg,elizabethkeene,light-pink-forever-21-dress_400
79,aquamarine:3.1 Phillip Lim dress;,2017-06-16,This is probably my prettiest dress. Today at least. I feel like a first lady in it. And the gorgeous shoes I didn\xe2\x80\x99t buy.,1.0,0.0,0.0,0.0,Romantic;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/3172888484/aquamarine-silk-dress_400.jpg,Aphrodite,aquamarine-silk-dress_400
80,red:custom made dress;,2017-06-11,<3,1.0,0.0,0.0,0.0,Classic;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/2320960521/red-princess-dress_400.jpg,Aphrodite,red-princess-dress_400
81,:Trina Turk shoes;,2017-06-08,"s, flirty ruffles and sassy rompers to help me look chic while beating the heat.""",1.0,0.0,0.0,0.0,Classic;Everyday;Summer;,http://images2.chictopia.com/photos/elizabethkeene/6887139985/trina-turk-shoes-gold-lulus-dress-beige-hat-attack-hat-lulus-bag_400.jpg,elizabethkeene,trina-turk-shoes-gold-lulus-dress-beige-hat-attack-hat-lulus-bag_400
82,white:vintage dress;,2017-06-08,<3,1.0,0.0,0.0,0.0,60s;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/2006656182/white-summer-vintage-dress_400.jpg,Aphrodite,white-summer-vintage-dress_400
83,blue:vintage dress;,2017-06-05,<3,1.0,0.0,0.0,0.0,Hippie;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/1692330636/gold-chain-chanel-belt_400.jpg,Aphrodite,gold-chain-chanel-belt_400
84,:Forever 21 shoes;,2017-05-29,More on beeswonderland.com,1.0,0.0,0.0,0.0,Elegant;Cocktail;spring;,http://images2.chictopia.com/photos/Beeswonderland/4507313597/forever-21-shoes-front-row-shop-dress_400.jpg,Beeswonderland,forever-21-shoes-front-row-shop-dress_400
85,green:Mango dress;,2017-06-05,accessory,1.0,0.0,0.0,0.0,Romantic;Other;Summer;,http://images2.chictopia.com/photos/Aphrodite/3792365585/green-mango-dress_400.jpg,Aphrodite,green-mango-dress_400
86,green:Mango dress;,2017-05-27,After the show. Heavy night for me but home is two hundred steps away and there is my sleeping baby.,1.0,0.0,0.0,0.0,Romantic;Work;Summer;,http://images2.chictopia.com/photos/Aphrodite/10044678317/green-floral-mango-dress_400.jpg,Aphrodite,green-floral-mango-dress_400
87,black:Valentino dress;,2017-05-24,<3,1.0,0.0,0.0,0.0,Romantic;Other;Summer;,http://images0.chictopia.com/photos/Aphrodite/9297325365/black-dress_400.jpg,Aphrodite,black-dress_400
88,white:ted baker dress;,2017-05-22,Spent a wonderful weekend in pastels & in pretty sunnies.,1.0,0.0,0.0,0.0,Chic;Everyday;Summer;,http://images2.chictopia.com/photos/elizabethkeene/5659253901/white-ted-baker-dress_400.jpg,elizabethkeene,white-ted-baker-dress_400
89,:Guess boots;,2017-05-20,"creating something edgy from a basic dress. Just add leather belt, ankle boots, and hat\xc2\xa0",1.0,0.0,0.0,0.0,Chic;Casual Party;fall;,http://images2.chictopia.com/photos/micchie/10873376131/guess-boots-frontrow-dress_400.jpg,micchie,guess-boots-frontrow-dress_400
